Personal Details,,,,,,,,,,,,,Build,,,,,,,,,,,,,,,,
#,Name,Gender,Race,Size,Alignment,,Age,Background,Relationships,Wellbeing,Gold,Status,Attributes,Level,First Class,l1,Multiclass 1,l2,Multiclass 2,l3,Multiclass 3,l4,ASI 1,ASI 2,ASI 3,ASI 4,ASI 5,ASI 6,ASI 7
10,Yasher,Male,Leonin,Medium,Lawful,Good,60,Far Traveler,Single,Alive,"10,00",Retired,Rolled,3,Redemption Paladin,3,,,,,,,,,,,,,
11,Gnumi Fabia,Female,Satyr,Medium,Chaotic,Good,21,Far Traveler,Single,Alive,"1.000,00",Active,Point Buy,9,Dreams Druid,4,Mercy Monk,5,,,,,Ability Score Improvement,Telekinetic,,,,,
12,Tash'ta Ixtualican,Male,Tiefling,Medium,Neutral,Neutral,35,Archaeologist,Single,Alive,"25,00",Active,Rolled,5,Celestial Warlock,5,,,,,,,Ability Score Improvement,,,,,,
13,Flame,Male,Genasi,Medium,Neutral,Neutral,17,Haunted One,Single,Alive,"10,00",Active,Rolled,7,Wildfire Druid,7,,,,,,,Ability Score Improvement,,,,,,
14,Ethan Hildebrand,Male,Human,Medium,Neutral,Good,25,City Watch,Single,Dead,"10,00",Active,Point Buy,1,Fighter,1,,,,,,,,,,,,,
15,Ruth Maddock,Female,Human,Medium,Neutral,Evil,43,Urban Bounty Hunter,Single,Alive,"2.021,00",Retired,Standard Array,15,Gunslinger Fighter,14,Fiend Warlock,1,,,,,Ability Score Improvement,Ability Score Improvement,Ability Score Improvement,Gunner,,,
16,Lucretia Casimir Sullivan,Female,Dhamphir,Medium,Neutral,Neutral,18,Wildspacer,Single,Alive,"10,00",Retired,Rolled,3,Phantom Rogue,3,,,,,,,,,,,,,
17,Khalid Kashmiri,Male,Hexblood,Medium,Neutral,Good,20,Haunted One,Single,Alive,"10,00",Retired,Rolled,3,Monster Slayer Ranger,3,,,,,,,,,,,,,
18,Vekia Thortak,Female,Changeling,Medium,Neutral,Good,27,Soldier,Single,Alive,"4.750,00",Concept,Rolled,12,Swarmkeeper Ranger,12,,,,,,,Ability Score Improvement,Piercer,Keen Mind,,,,
19,Sanja,Male,Tabaxi,Small,Neutral,Neutral,26,Folk Hero,Single,Alive,"10,00",Concept,Point Buy,3,Kensei Monk,3,,,,,,,,,,,,,
20,James,Male,Human,Medium,Neutral,Good,56,Shipwright,Divorced,Alive,"10,00",Concept,Point Buy,3,Spirits Bard,3,,,,,,,,,,,,,
21,Zephir Simanof,Male,Human,Medium,Neutral,Neutral,83,Haunted One,Single,Alive,"100,00",Concept,Point Buy,18,Mutant Blood Hunter,18,,,,,,,,,,,,,
22,Darsil Brainir,Male,Aasimar,Medium,Lawful,Good,38,Hermit,Single,Alive,"10,00",Concept,Rolled,6,War Cleric,6,,,,,,,,,,,,,
23,Lathelion Ysmirie Son of Dilith,Male,Elf,Medium,Lawful,Good,230,Sage,Single,Alive,"50,00",Concept,Rolled,3,Evocation Wizard,3,,,,,,,,,,,,,
24,Sweeper,Male,Kenku,Small,Neutral,Neutral,30,Criminal,Single,Alive,"10,00",Concept,Rolled,3,Thief Rogue,3,,,,,,,,,,,,,
25,Uncle Borin of the Ironhill,Male,Dwarf,Medium,Lawful,Good,200,Clan Crafter,Widowed,Alive,"10,00",Concept,Point Buy,1,Forge Cleric,1,,,,,,,,,,,,,
26,Lady Nemessa,Female,Centaur,Medium,Lawful,Evil,30,Haunted One,Single,Alive,"10,00",Concept,Point Buy,8,Necromancy Wizard,8,,,,,,,,,,,,,
27,Marouli,Female,Gnome,Small,Neutral,Good,125,Wildspacer,Single,Alive,"10,00",Concept,Rolled,4,Scribes Wizard,3,Artificer,1,,,,,,,,,,,
28,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
